scouted_at,feed,purpose,account,post_url,post_id,post_time,post_age_h,relevance,likes,replies,reposts,shares,topic_hits,status,replied_at,reply_url,reply_angle,reply_text,text,notes
2026-07-23T06:14:36,running,reply,alexkung,https://www.threads.com/@alexkung/post/DbHVnubE49N,DbHVnubE49N,2026-07-23T00:05:57.000Z,6.2,8,56,10,2,16,跑者;馬拉松;running,candidate,,,,,"Running Threads
2027年（131屆）波士頓馬拉松將新增 Boston Qualifier Selection 制度，讓達到BQ標準（見留言）、卻未通過實際錄取門檻cut-off的跑者，多一次進入波馬的機會。主辦單位預計從這些合格但落選的申請者中，隨機抽出約1,000人。
以今年（130屆）為例，共有33,249名BQ跑者申請，實際cut-off為4分34秒，最終錄取24,362人，代表有8,887人因名額有限落選。若套用新制，從8,887人中抽出1,000人，中籤率約11.3%，相當於每9人約有1人獲選。
這項改革保留成績優先的原則，也為好不容易達成BQ卻未跨過cut-off的跑者，增加另一條通往波馬的道路。
1
/",Running Threads 2027年（131屆）波士頓馬拉松將新增 Bos
2026-07-23T06:14:36,running,reply,initial428,https://www.threads.com/@initial428/post/DbGjsx2Eg9U,DbGjsx2Eg9U,2026-07-22T16:49:44.000Z,13.4,8,17,17,17,17,跑步;健身;有氧,candidate,,,,,"其實我沒有很喜歡跑步，應該說有氧只是我維持體能的其中一部份
不過從四月因為肩膀關節壞掉開刀後，我不能攀岩不能游泳無法去健身房做力量……
不知不覺也就亂跑了三個月，其實沒什麼人的河濱一個人跑也是蠻舒服的～",其實我沒有很喜歡跑步，應該說有氧只是我維持體能的其中一部份 不過從四月因為肩膀關
2026-07-23T06:14:36,running,reply,wanderwun,https://www.threads.com/@wanderwun/post/DbGdM3egY_g,DbGdM3egY_g,2026-07-22T15:52:57.000Z,14.4,7,157,23,0,2,配速;心率;5K,candidate,,,,,"別迷信公里數，真正值得追的是心率
四個月前，我跑 3K 心率飆破 170；後來跑 5K 還要 155；直到今天，同樣 5K，心率終於降到 148(´･ω･`)
只要持續跑下去，會發現一件很多新手不知道的事：配速越來越快、心率越來越低，這才是耐力進步最誠實的證明！👍🏻
1
/",別迷信公里數，真正值得追的是心率 四個月前，我跑 3K 心率飆破 170；後來跑
2026-07-23T06:14:36,running,reply,ray.chen.photo,https://www.threads.com/@ray.chen.photo/post/DbGSSxQidcQ,DbGSSxQidcQ,2026-07-22T14:17:38.000Z,16.0,7,444,24,0,0,跑步;10K;running,candidate,,,,,"Running Threads
跑步新手小白第一次成功跑完10K",Running Threads 跑步新手小白第一次成功跑完10K
2026-07-23T06:14:36,running,reply,lizz_tang,https://www.threads.com/@lizz_tang/post/DbHuFN8gbz9,DbHuFN8gbz9,2026-07-23T03:39:41.000Z,2.6,6,256,3,0,1,5K;晨跑;running,candidate,,,,,"Running Threads
Day 97 🏃🏻‍♀️
這禮拜都默默把 6:00 鬧鐘按掉
今天成功起床🙂
晨跑 15K ☑️",Running Threads Day 97 🏃🏻‍♀️ 這禮拜都默默把 6
2026-07-23T06:14:36,running,reply,a22427623,https://www.threads.com/@a22427623/post/DbHgwEFGdMa,DbHgwEFGdMa,2026-07-23T01:43:12.000Z,4.5,6,43,30,0,3,馬拉松;跑團;訓練,candidate,,,,,"臺北馬拉松
臺北馬拉松訓練營遍地開花，
幾乎都集中在北部地區，
是不是中南部都是跑團、跑班為主，
品牌相對難切入中南部市場？",臺北馬拉松 臺北馬拉松訓練營遍地開花， 幾乎都集中在北部地區， 是不是中南部都是
2026-07-23T06:14:36,running,reply,yunxuan_9238,https://www.threads.com/@yunxuan_9238/post/DbHePurE9TK,DbHePurE9TK,2026-07-23T01:21:19.000Z,4.9,6,21,3,1,0,跑步;路跑,candidate,,,,,"跑步日記
下小夜後只睡2個半小時 5:30就起床跑步的我
終於可以跑到7km了！🤩
最近跑到很想參加看看路跑體驗一下
Ghostin · Yaboi Nilo",跑步日記 下小夜後只睡2個半小時 5:30就起床跑步的我 終於可以跑到7km了！
2026-07-23T06:14:36,running,reply,0328ethan,https://www.threads.com/@0328ethan/post/DbGb2UDki8B,DbGb2UDki8B,2026-07-22T15:41:07.000Z,14.6,6,223,37,0,12,跑步;zone2,candidate,,,,,"好多跑步po上來的都是5-6分速
有沒有zone2 也是10-11分速的喊個聲取暖一下",好多跑步po上來的都是5-6分速 有沒有zone2 也是10-11分速的喊個聲取
2026-07-23T06:14:36,running,reply,run.sisi.run,https://www.threads.com/@run.sisi.run/post/DbHtCkHGQqE,DbHtCkHGQqE,2026-07-23T03:30:35.000Z,2.8,5,45,9,0,1,馬拉松;running,candidate,,,,,"Running Threads
關於馬拉松，我只有一個建議：
前面跑太快，後面就挫賽。",Running Threads 關於馬拉松，我只有一個建議： 前面跑太快，後面就
2026-07-23T06:14:36,running,reply,dondonrunsince2025,https://www.threads.com/@dondonrunsince2025/post/DbGcbq6gbuh,DbGcbq6gbuh,2026-07-22T15:46:13.000Z,14.5,5,23,5,0,1,跑步;5K,candidate,,,,,"跑步日記
第一次跑最強市民，也算是第一個5K正式成績22:07。雖然沒有達到自己的理想但也算是近期最佳，前面剛開始跑太快後面報應馬上就來了..不過最後還是要稱讚這個活動免費真的是太佛了！！",跑步日記 第一次跑最強市民，也算是第一個5K正式成績22:07。雖然沒有達到自己
2026-07-23T06:14:36,running,reply,yi.hsiu_chen,https://www.threads.com/@yi.hsiu_chen/post/DbGXSb0EgDm,DbGXSb0EgDm,2026-07-22T15:01:16.000Z,15.2,5,307,107,0,2,跑步;running,candidate,,,,,"Running Threads
為什麼 為什麼 為什麼
跑一陣子之後就會開始膝蓋不舒服
是哪裡出問題了呢
短期目標 每週跑步三次",Running Threads 為什麼 為什麼 為什麼 跑一陣子之後就會開始膝蓋
2026-07-23T06:14:36,running,reply,sunny1717,https://www.threads.com/@sunny1717/post/DbH4OvFD5g-,DbH4OvFD5g-,2026-07-23T05:08:22.000Z,1.1,4,45,3,0,0,10K;running,candidate,,,,,"Running Threads
這裡真的超美、超美💙
一邊跑，一邊看海，
不知不覺就跑完了人生第一個 10K。🏃🏽‍♀️
享受過程的時候，
里程碑會自己出現。
Just Fine Today · jehoda
淡海觀海長堤",Running Threads 這裡真的超美、超美💙 一邊跑，一邊看海， 不知
2026-07-23T06:14:36,running,reply,hhappy158,https://www.threads.com/@hhappy158/post/DbHimn7Caw9,DbHimn7Caw9,2026-07-23T01:59:23.000Z,4.3,4,99,5,0,1,10K;running,candidate,,,,,"Running Threads
晚班後的艷陽，還是太熱情了❤️‍🔥
有起床跑，真的就是100分了✨💦
總之還是期待下一個10K！
我會繼續努力👍
.
.
.
.
我真的好喜歡今天分享的這首歌，雖然很黑暗，但我想更深層的意義上，應該算是某部分的重生吧！
The Hard Way · Cameron Whitcomb",Running Threads 晚班後的艷陽，還是太熱情了❤️‍🔥 有起床跑，
2026-07-23T06:14:36,running,reply,p27888,https://www.threads.com/@p27888/post/DbGWflZEr0L,DbGWflZEr0L,2026-07-22T14:54:20.000Z,15.4,4,72,21,0,7,5K;running,candidate,,,,,"Running Threads
Garmin今天什麼魔鬼建議
6.4公里叫我27分鐘內完成..
夢裡跑比較快啦
小跑5k
回家準備夢中狂奔",Running Threads Garmin今天什麼魔鬼建議 6.4公里叫我27
2026-07-23T06:14:36,running,reply,sydnneyy___,https://www.threads.com/@sydnneyy___/post/DbGOA_Tj0JM,DbGOA_Tj0JM,2026-07-22T13:40:15.000Z,16.6,4,32,1,0,0,肌力;訓練,candidate,,,,,"紀念第一次抽臺北馬備取沒上👊🏻👊🏼
所以今天可以輕鬆跑40分鐘就好🤣
/
我相信等我足夠好就會抽中的.ᐟ‪‪.ᐟ
持續養傷肌力訓練🥹💖",紀念第一次抽臺北馬備取沒上👊🏻👊🏼 所以今天可以輕鬆跑40分鐘就好🤣 
2026-07-23T06:14:36,running,reply,sammy_moves_life,https://www.threads.com/@sammy_moves_life/post/DbHU-PeARnJ,DbHU-PeARnJ,2026-07-23T00:00:17.000Z,6.3,3,99,18,0,0,課表,candidate,,,,,"新竹
早安
好久沒有見到甜甜圈的大家
好開心大家都說我小了一圈🥹
今天有認真跑完了400m15趟的課表
最後一趟全開了啊！
想去睡覺了…",新竹 早安 好久沒有見到甜甜圈的大家 好開心大家都說我小了一圈🥹 今天有認真跑
2026-07-23T06:14:36,running,reply,csflcm,https://www.threads.com/@csflcm/post/DbHTAHjj5_R,DbHTAHjj5_R,2026-07-22T23:43:04.000Z,6.5,3,313,64,0,7,跑步,candidate,,,,,"大家早安。
今天的天氣比較悶，
跑起步來黏答答，
感覺比較不舒服，
但是跑步還是要堅持。
想到91歲的阿嬤、
88歲的阿嬤，
都還在運動，
60幾歲的我算什麼？
如果我能活到這種歲數，
當然希望像她們一樣，
可以健康歡樂運動下去。",大家早安。 今天的天氣比較悶， 跑起步來黏答答， 感覺比較不舒服， 但是跑步還是
2026-07-23T06:14:36,running,reply,tzuang01,https://www.threads.com/@tzuang01/post/DbHQ6Q3ksOw,DbHQ6Q3ksOw,2026-07-22T23:24:47.000Z,6.8,3,28,28,28,28,跑步,candidate,,,,,"跑步日誌
這已經是我的草上飛了😆5分速吊車尾🙌",跑步日誌 這已經是我的草上飛了😆5分速吊車尾🙌
2026-07-23T06:14:36,running,reply,rji_1116,https://www.threads.com/@rji_1116/post/DbHDZz2k4go,DbHDZz2k4go,2026-07-22T21:26:45.000Z,8.8,3,20,20,20,20,跑步,candidate,,,,,"跑步
大家跑步前都會做什麼暖身運動
我覺得我暖身心跳加速後 跑 體力是下降的
拉伸就還好沒什麼影響🫪",跑步 大家跑步前都會做什麼暖身運動 我覺得我暖身心跳加速後 跑 體力是下降的 拉
2026-07-23T06:14:36,running,reply,sunny.qingyan,https://www.threads.com/@sunny.qingyan/post/DbGXI1EgdQx,DbGXI1EgdQx,2026-07-22T14:59:58.000Z,15.3,3,4406,142,16,819,馬拉松,candidate,,,,,"30幾歲後， 發現身邊的朋友越來越兩極化。
一半在研究： 奶粉、尿布、幼兒園。
另一半在研究： 馬拉松、三鐵、百岳。",30幾歲後， 發現身邊的朋友越來越兩極化。 一半在研究： 奶粉、尿布、幼兒園。 
2026-07-23T06:14:36,running,reply,syuan_1014,https://www.threads.com/@syuan_1014/post/DbGPmrhk_Hs,DbGPmrhk_Hs,2026-07-22T13:54:08.000Z,16.4,3,539,16,0,7,跑步,candidate,,,,,"運動日記
發現跑步已經慢慢變成生活的一部分
開心的時候想跑，不開心的時候也想跑🤍🏃🏻‍♀️",運動日記 發現跑步已經慢慢變成生活的一部分 開心的時候想跑，不開心的時候也想跑�
2026-07-23T06:14:36,running,reply,hsinlin_stock_invest,https://www.threads.com/@hsinlin_stock_invest/post/DbGNf5QE-Oi,DbGNf5QE-Oi,2026-07-22T13:35:44.000Z,16.7,3,604,19,1,1,跑步,candidate,,,,,"跑步
今天跑了22.5圈操場耶！9K🏃🏻‍♀️
破跑操場紀錄了！開心٩(˃̶͈̀௰˂̶͈́)و
原本想說22圈就好~但8.8K
不湊個整數哪裡怪怪的🤣🤣🤣",跑步 今天跑了22.5圈操場耶！9K🏃🏻‍♀️ 破跑操場紀錄了！開心٩(˃̶
2026-07-23T06:14:36,running,reply,kendrick940222,https://www.threads.com/@kendrick940222/post/DbF4HnHExAR,DbF4HnHExAR,2026-07-22T10:28:55.000Z,19.8,3,619,6,0,15,跑步,candidate,,,,,"一發苗栗70公里
再跑個9k
跑步有跑就好 騎車多騎一點",一發苗栗70公里 再跑個9k 跑步有跑就好 騎車多騎一點
